symbol,kmeans_cluster,sector_label,x,y
FE,9,4,26.673952063363867,10.978157763681647
COO,6,8,7.208081483069972,-1.8398529189653565
SBUX,2,1,-8.021816302158422,5.669281445537262
TDG,6,0,10.141376649184783,-4.234011079255587
AEE,9,5,21.373858772037444,20.37495205799202
LMT,2,7,-3.043738616283833,6.432639586801393
SIG,1,1,17.36359489324651,-10.579870920495315
PVH,1,9,4.126563763324654,-6.7291731060778615
GOOGL,2,2,-3.0003552604742207,2.726207695481601
INTU,2,8,-9.742760611767844,5.520943306123089
TJX,2,0,-3.7068317028057503,4.509413329629879
AAPL,6,5,7.236455276981075,-5.054677851357529
KMB,3,3,3.92849064424163,16.043925102192997
LNC,0,7,-27.176779303030827,-8.7861870450666
VNO,3,6,4.387681641869085,11.326198011626946
APA,7,5,6.44028090455256,-15.763955912482235
PG,3,9,5.591954436675342,13.956100134146329
TAP,3,0,7.673326735803886,7.186169119567913
WHR,2,4,-6.158906289340765,1.5319053363043837
TMO,8,0,-19.83225652255244,5.775764553268499
BWA,8,4,-17.02295520087812,-5.147457803842952
YUM,6,2,7.705082615460866,-0.10527882598496942
BBT,0,4,-22.483496887456813,-6.987448240715625
ANDV,6,5,4.267814354890152,-5.990822894624509
IPG,8,8,-10.900208411007558,2.3919347276076266
DHI,2,1,-5.702770323582318,3.6743840806092583
GS,0,2,-26.420596726870258,-5.449361027614494
INCY,6,8,9.914322661485622,-6.899746066263516
LNT,4,7,40.333507675048075,-2.8090029776559535
NSC,5,4,-8.125651496103819,-4.792832062881385
ALB,5,5,-2.9575092209871756,-3.5557843790570787
HAS,6,6,8.102848124311285,-2.127503583926926
ADBE,2,5,-7.765261896980279,3.8306833058809486
UA,4,9,40.32164609339564,-18.47131877041693
KORS,1,3,21.91914722656233,-12.567870080315016
CBOE,1,8,14.707414439229705,-2.656815322606978
EBAY,1,3,27.312864730342426,-10.55034867263032
AIZ,5,5,-4.772446760257728,-0.9376775516929151
NOV,7,4,8.410535110777685,-16.021476116708094
SNPS,8,1,-13.78319464753691,2.6343108446320778
RHI,8,2,-11.894332460380964,-0.5691662070118297
